% god. mj. dan. sat. NE  NW
 2003  4 27  0 -1.0180 -2.3498
 2003  4 27  1 -1.8524 -4.5808
 2003  4 27  2 -1.6459 -8.1434
 2003  4 27  3  0.5390 -13.1792
 2003  4 27  4  1.3545 -13.4490
 2003  4 27  5  1.2698 -10.4850
 2003  4 27  6  3.0753 -11.9417
 2003  4 27  7  4.4304 -6.4548
 2003  4 27  8  5.9126 -5.4650
 2003  4 27  9  3.5985 -1.8369
 2003  4 27 10  1.4657 -4.3774
 2003  4 27 11  1.0367 -2.9506
 2003  4 27 12  0.6697 -3.3430
 2003  4 27 13 -1.1931 -5.1723
 2003  4 27 14 -4.9949 -8.8499
 2003  4 27 15 -4.2209 -9.7667
 2003  4 27 16 -5.9060 -12.8630
 2003  4 27 17 -5.3248 -12.6999
 2003  4 27 18 -6.3413 -9.2434
 2003  4 27 19 -5.5538 -4.4175
 2003  4 27 20 -6.5156 -3.4375
 2003  4 27 21 -5.0420 -1.8321
 2003  4 27 22 -3.3320 -1.7375
 2003  4 27 23  0.3848 -3.8714
 2003  4 28  0  0.2936 -3.9509
 2003  4 28  1  2.6903 -5.8792
 2003  4 28  2  4.0993 -9.3397
 2003  4 28  3  6.7084 -8.8257
 2003  4 28  4  4.1732 -6.0213
 2003  4 28  5  1.7434 -5.5730
 2003  4 28  6 -0.5536 -3.8266
 2003  4 28  7 -2.6204 -2.2289
 2003  4 28  8 -1.4337 -2.0351
 2003  4 28  9 -1.3721 -2.3674
 2003  4 28 10 -0.1569 -1.6236
 2003  4 28 11  0.8450 -5.1955
 2003  4 28 12  0.2975 -7.6696
 2003  4 28 13 -1.2237 -6.9995
 2003  4 28 14  0.7411 -11.0884
 2003  4 28 15  2.3544 -10.6800
 2003  4 28 16 -0.0197 -13.3471
 2003  4 28 17  3.3752 -11.0604
 2003  4 28 18  2.6665 -4.0034
 2003  4 28 19  0.9454  0.3185
 2003  4 28 20 -0.3905  6.4942
 2003  4 28 21 -1.4856  9.1651
 2003  4 28 22 -2.4302 10.0566
 2003  4 28 23 -3.3116  8.6155
 2003  4 29  0 -5.5305  5.1735
 2003  4 29  1 -3.0592 -1.0955
 2003  4 29  2 -3.7017 -6.3470
 2003  4 29  3 -0.9003 -14.5357
 2003  4 29  4 -1.4809 -14.9794
 2003  4 29  5  1.9944 -16.9783
 2003  4 29  6  4.0071 -15.2048
 2003  4 29  7  6.2401 -11.5049
 2003  4 29  8  7.5494 -5.3858
 2003  4 29  9  6.7522 -0.1242
 2003  4 29 10  6.0409  2.9667
 2003  4 29 11  3.7228  3.5597
 2003  4 29 12 -1.8349  5.6052
 2003  4 29 13 -1.9704  4.4186
 2003  4 29 14 -5.8189  0.8080
 2003  4 29 15 -11.0112 -4.3302
 2003  4 29 16 -10.2900 -11.3829
