% god. mj. dan. sat. NE  NW
 2003  4 27  0 -2.5434 -2.4732
 2003  4 27  1 -2.0286 -4.9070
 2003  4 27  2 -1.9415 -8.5010
 2003  4 27  3 -3.0691 -12.8742
 2003  4 27  4 -2.0176 -13.5000
 2003  4 27  5 -2.8070 -12.4201
 2003  4 27  6  1.5025 -11.5916
 2003  4 27  7  4.7299 -5.7898
 2003  4 27  8  2.6610 -2.8364
 2003  4 27  9 -2.1306 -1.5509
 2003  4 27 10 -5.9731 -5.6506
 2003  4 27 11 -0.5997 -6.4097
 2003  4 27 12 -2.3322 -5.8236
 2003  4 27 13 -2.0021 -6.9286
 2003  4 27 14 -5.5725 -12.0559
 2003  4 27 15 -6.0329 -14.4608
 2003  4 27 16 -7.0196 -15.0318
 2003  4 27 17 -8.9644 -13.9258
 2003  4 27 18 -7.5418 -10.5570
 2003  4 27 19 -6.9844 -3.6272
 2003  4 27 20 -8.9053 -2.8135
 2003  4 27 21 -7.7859 -1.2316
 2003  4 27 22 -4.3371 -0.6940
 2003  4 27 23 -0.2732 -1.9979
 2003  4 28  0  1.0168 -4.2519
 2003  4 28  1  3.6869 -5.9403
 2003  4 28  2  5.7910 -11.3871
 2003  4 28  3  8.5874 -9.6437
 2003  4 28  4  5.6759 -5.9989
 2003  4 28  5  3.7282 -3.8348
 2003  4 28  6 -1.0692 -0.2209
 2003  4 28  7 -4.2151 -0.2366
 2003  4 28  8 -2.3738  3.2170
 2003  4 28  9 -3.0345  2.5734
 2003  4 28 10 -0.4691  1.8207
 2003  4 28 11  0.0230 -2.1033
 2003  4 28 12 -0.8205 -4.9860
 2003  4 28 13 -2.4609 -8.0808
 2003  4 28 14 -0.6194 -11.5412
 2003  4 28 15 -0.6348 -12.6121
 2003  4 28 16 -0.7366 -16.3562
 2003  4 28 17  1.2872 -11.8172
 2003  4 28 18  2.4761 -7.4644
 2003  4 28 19  2.6784 -0.0306
 2003  4 28 20 -1.2620  6.9913
 2003  4 28 21 -3.6036 13.1766
 2003  4 28 22 -2.5264 14.6763
 2003  4 28 23 -2.8619 13.6291
 2003  4 29  0 -6.5797  9.9459
 2003  4 29  1 -2.7687  1.0437
 2003  4 29  2 -3.7983 -6.3474
 2003  4 29  3 -2.9786 -14.2264
 2003  4 29  4 -4.5224 -16.8717
 2003  4 29  5 -2.2656 -18.5113
 2003  4 29  6  4.0924 -17.8523
 2003  4 29  7  6.5987 -11.8565
 2003  4 29  8  8.0007 -4.9255
 2003  4 29  9  4.8654  0.7191
 2003  4 29 10  3.6307  4.0886
 2003  4 29 11  1.4725  6.6342
 2003  4 29 12 -3.8690  9.0390
 2003  4 29 13 -7.4460  6.1340
 2003  4 29 14 -8.0253  1.0141
 2003  4 29 15 -13.2724 -7.4695
 2003  4 29 16 -11.9920 -14.3268
 2003  4 29 17 -11.1407 -16.4425
 2003  4 29 18 -7.7495 -15.1806
 2003  4 29 19 -3.6704 -14.6090
 2003  4 29 20  4.5288 -11.2874
 2003  4 29 21 10.0373 -5.3253
 2003  4 29 22 11.0387  2.0085
 2003  4 29 23 17.1038  7.8177
 2003  4 30  0 13.7697 12.0730
 2003  4 30  1 11.0531 10.3866
 2003  4 30  2  6.0067  3.1424
 2003  4 30  3  2.8564 -1.4545
 2003  4 30  4 -3.6113 -4.1071
 2003  4 30  5 -8.2655 -5.7495
 2003  4 30  6 -10.2507 -6.5843
 2003  4 30  7 -8.8913 -7.9737
 2003  4 30  8 -10.8829 -4.2735
 2003  4 30  9 -8.3576 -3.9044
 2003  4 30 10 -6.2816 -4.6872
 2003  4 30 11 -3.9889 -9.8215
 2003  4 30 12  1.5879 -11.7563
 2003  4 30 13  8.2806 -16.7649
 2003  4 30 14 12.2650 -19.1911
 2003  4 30 15 14.9763 -19.3539
 2003  4 30 16 18.1151 -19.1381
 2003  4 30 17 15.4755 -14.3901
 2003  4 30 18 14.0385 -8.3740
 2003  4 30 19 11.1875  0.0949
 2003  4 30 20  7.9192  8.3424
 2003  4 30 21  7.3230 13.2173
 2003  4 30 22  6.2729 19.5864
 2003  4 30 23  1.3010 26.5590
 2003  5  1  0 -7.8442 27.8284
 2003  5  1  1 -12.6949 18.1793
 2003  5  1  2 -15.6336  7.1073
 2003  5  1  3 -18.2205 -4.5250
 2003  5  1  4 -17.9922 -15.8391
 2003  5  1  5 -12.0233 -26.7011
 2003  5  1  6 -6.5434 -31.8915
 2003  5  1  7  0.0410 -27.4063
 2003  5  1  8  7.4013 -27.0503
 2003  5  1  9 11.8387 -17.1423
 2003  5  1 10 15.0392 -6.8704
 2003  5  1 11 15.3585  1.0880
 2003  5  1 12 14.9886  6.6170
 2003  5  1 13 10.8616  8.0668
 2003  5  1 14  6.0482  6.0842
 2003  5  1 15 -1.8348  2.2368
 2003  5  1 16 -6.2036  2.9561
 2003  5  1 17 -8.6175 -0.3159
 2003  5  1 18 -13.0004 -1.3174
 2003  5  1 19 -15.2303 -5.8574
 2003  5  1 20 -16.1701 -5.9260
 2003  5  1 21 -15.9436 -4.4878
 2003  5  1 22 -12.0952 -2.0892
 2003  5  1 23 -6.7885 -4.3030
 2003  5  2  0 -1.0234 -5.3439
 2003  5  2  1  6.4462 -7.3633
 2003  5  2  2  8.0562 -7.5535
 2003  5  2  3 10.6522 -8.7048
 2003  5  2  4 12.3955 -10.5564
 2003  5  2  5 13.3605 -12.9360
 2003  5  2  6 10.1663 -12.2455
 2003  5  2  7  9.3685 -9.1223
 2003  5  2  8  7.5745 -3.2151
 2003  5  2  9  2.8616  3.2505
 2003  5  2 10 -0.7279  8.4254
 2003  5  2 11 -6.2352 10.5777
 2003  5  2 12 -11.6691  6.1171
 2003  5  2 13 -12.6319 -0.4358
 2003  5  2 14 -15.4994 -5.8635
 2003  5  2 15 -11.9970 -15.5251
 2003  5  2 16 -9.8839 -21.2437
 2003  5  2 17 -7.1105 -24.4290
 2003  5  2 18 -3.7826 -25.1247
 2003  5  2 19  4.0128 -19.4583
 2003  5  2 20  7.9923 -16.4434
 2003  5  2 21 11.5759 -9.4580
 2003  5  2 22 13.2093 -2.3874
 2003  5  2 23 12.5443  3.5363
 2003  5  3  0 10.5490 12.0537
 2003  5  3  1  7.5980  8.9389
 2003  5  3  2  4.5388 10.9096
 2003  5  3  3  1.4250 11.3440
 2003  5  3  4 -7.3705  5.8695
 2003  5  3  5 -9.9464 -4.9093
 2003  5  3  6 -14.2129 -9.5415
 2003  5  3  7 -14.1684 -15.8636
 2003  5  3  8 -14.4272 -18.2476
 2003  5  3  9 -13.4502 -16.9915
 2003  5  3 10 -10.7368 -15.3754
 2003  5  3 11 -2.4796 -12.4935
 2003  5  3 12  1.3457 -10.8767
 2003  5  3 13  4.6929 -10.9278
 2003  5  3 14  9.0239 -15.3171
 2003  5  3 15 11.9488 -21.2158
 2003  5  3 16 14.2407 -20.9293
 2003  5  3 17 16.0290 -15.9209
 2003  5  3 18 13.9519 -7.3956
 2003  5  3 19 11.4228 -2.5240
 2003  5  3 20  6.7192  3.0192
 2003  5  3 21 -0.1912  8.7387
 2003  5  3 22 -4.0599 10.5027
 2003  5  3 23 -10.5622 11.8396
 2003  5  4  0 -14.8734 12.9583
 2003  5  4  1 -15.5025  8.2575
 2003  5  4  2 -14.5181 -0.4075
 2003  5  4  3 -11.1177 -8.6430
 2003  5  4  4 -5.8288 -21.3106
 2003  5  4  5 -0.1364 -25.9218
 2003  5  4  6  4.4991 -30.2516
 2003  5  4  7  7.2344 -31.8351
 2003  5  4  8 15.1212 -32.0617
 2003  5  4  9 18.7554 -25.9613
 2003  5  4 10 18.8880 -12.5601
 2003  5  4 11 16.1536 -3.6618
 2003  5  4 12 10.6904  2.3999
 2003  5  4 13  4.5315  4.6085
 2003  5  4 14  2.5530  5.5125
 2003  5  4 15  0.7920  4.5094
 2003  5  4 16 -0.9460  0.9530
 2003  5  4 17 -3.1810 -0.6779
 2003  5  4 18 -7.3106 -6.9599
 2003  5  4 19 -10.2626 -12.1974
 2003  5  4 20 -8.0898 -16.4212
 2003  5  4 21 -5.3213 -14.7555
 2003  5  4 22 -3.3371 -15.9204
 2003  5  4 23  2.3289 -13.3198
 2003  5  5  0  8.2577 -12.9301
 2003  5  5  1 12.2294 -10.3169
 2003  5  5  2 15.6346 -6.5414
 2003  5  5  3 17.7419 -3.4111
 2003  5  5  4 12.0741  1.3075
 2003  5  5  5 11.2795 -0.0711
 2003  5  5  6  6.7731 -2.5393
