% god. mj. dan. sat. NE  NW
 2003  4 27  0 -3.1123 -2.3091
 2003  4 27  1 -4.9477 -5.5181
 2003  4 27  2 -6.0899 -9.3058
 2003  4 27  3 -5.3971 -8.1143
 2003  4 27  4 -6.4058 -11.7559
 2003  4 27  5 -6.3975 -11.0205
 2003  4 27  6 -3.5387 -9.0866
 2003  4 27  7  0.9349 -4.9568
 2003  4 27  8  0.4345 -1.2082
 2003  4 27  9 -7.2172 -4.0065
 2003  4 27 10 -8.8056 -7.9154
 2003  4 27 11 -4.5211 -8.5140
 2003  4 27 12 -3.9950 -10.0419
 2003  4 27 13 -4.1210 -11.0756
 2003  4 27 14 -5.3798 -15.0175
 2003  4 27 15 -4.6689 -17.2897
 2003  4 27 16 -4.0379 -15.0857
 2003  4 27 17 -5.4863 -12.4621
 2003  4 27 18 -5.4257 -7.6918
 2003  4 27 19 -4.3506 -1.2618
 2003  4 27 20 -7.2780  0.1770
 2003  4 27 21 -7.0155  1.5613
 2003  4 27 22 -4.0669  1.9633
 2003  4 27 23 -1.2339 -0.1518
 2003  4 28  0 -0.0126 -3.1937
 2003  4 28  1  2.8326 -5.2045
 2003  4 28  2  4.0822 -10.2349
 2003  4 28  3  6.1184 -8.8773
 2003  4 28  4  4.2527 -5.4616
 2003  4 28  5  1.8088 -3.6085
 2003  4 28  6 -2.0167 -1.3632
 2003  4 28  7 -2.9052  0.7255
 2003  4 28  8 -1.9963  3.9422
 2003  4 28  9 -3.1526  3.7533
 2003  4 28 10 -2.4258  2.6699
 2003  4 28 11 -1.8728 -2.4118
 2003  4 28 12 -2.3390 -4.7841
 2003  4 28 13 -2.9647 -7.2736
 2003  4 28 14 -0.1056 -12.1609
 2003  4 28 15  0.1127 -14.0282
 2003  4 28 16 -0.2491 -16.8901
 2003  4 28 17  1.2708 -12.7724
 2003  4 28 18  3.2941 -9.5200
 2003  4 28 19  2.5839 -2.7584
 2003  4 28 20 -0.1231  3.8260
 2003  4 28 21 -2.4879  9.5954
 2003  4 28 22 -2.0070 12.2595
 2003  4 28 23 -1.2589 11.2428
 2003  4 29  0 -2.7801  8.0664
 2003  4 29  1 -0.0318  1.8387
 2003  4 29  2 -0.9537 -6.6197
 2003  4 29  3 -1.0761 -11.7657
 2003  4 29  4 -2.2420 -14.1576
 2003  4 29  5 -4.1704 -15.5987
 2003  4 29  6 -0.2450 -15.5048
 2003  4 29  7  4.5061 -11.7317
 2003  4 29  8  3.3961 -4.6969
 2003  4 29  9  1.2134 -1.4518
 2003  4 29 10  0.2468  2.1141
 2003  4 29 11 -0.0572  1.5871
 2003  4 29 12 -3.8443  6.0331
 2003  4 29 13 -6.5202  3.5910
 2003  4 29 14 -9.1558 -1.3157
 2003  4 29 15 -9.5496 -10.8206
 2003  4 29 16 -6.7907 -14.6690
 2003  4 29 17 -6.9457 -15.1933
 2003  4 29 18 -5.6089 -13.5501
 2003  4 29 19 -6.4027 -8.8174
 2003  4 29 20  0.7080 -6.9815
 2003  4 29 21  7.8811 -3.6134
 2003  4 29 22 10.6455  2.6325
 2003  4 29 23 15.2361  7.5630
 2003  4 30  0 10.6124 11.9228
 2003  4 30  1  5.9064  7.2525
 2003  4 30  2  3.1883  1.1732
 2003  4 30  3  1.4510 -3.1482
 2003  4 30  4 -3.7887 -4.6113
 2003  4 30  5 -8.8184 -6.2362
 2003  4 30  6 -10.1733 -6.6346
 2003  4 30  7 -9.7179 -6.9315
 2003  4 30  8 -12.0514 -4.2737
 2003  4 30  9 -10.2252 -3.4513
 2003  4 30 10 -7.3637 -5.3499
 2003  4 30 11 -2.9633 -10.5863
 2003  4 30 12  0.4406 -12.7182
 2003  4 30 13  4.8716 -14.9889
 2003  4 30 14 10.5085 -19.2753
 2003  4 30 15 12.5855 -17.5069
 2003  4 30 16 15.4345 -16.9620
 2003  4 30 17 13.1530 -14.2135
 2003  4 30 18 11.8864 -7.3933
 2003  4 30 19  8.4207  1.4100
 2003  4 30 20  7.0016  8.7623
 2003  4 30 21  6.0187 12.1451
 2003  4 30 22  4.2069 18.3668
 2003  4 30 23  0.7023 25.6197
 2003  5  1  0 -8.2770 25.6099
 2003  5  1  1 -10.9638 17.6773
 2003  5  1  2 -13.8385  6.2675
 2003  5  1  3 -17.7256 -5.4864
 2003  5  1  4 -17.5877 -16.1503
 2003  5  1  5 -10.9662 -26.4983
 2003  5  1  6 -7.4532 -31.0183
 2003  5  1  7 -1.0524 -25.3040
 2003  5  1  8  5.4649 -24.4874
 2003  5  1  9 10.1521 -14.7823
 2003  5  1 10 15.3475 -6.0583
 2003  5  1 11 14.5788  1.1115
 2003  5  1 12 13.0882  5.0818
 2003  5  1 13 10.2720  7.1616
 2003  5  1 14  6.9385  4.8568
 2003  5  1 15  0.8715  1.9293
 2003  5  1 16 -5.7232  1.2555
 2003  5  1 17 -5.4683  0.0219
 2003  5  1 18 -10.7702 -1.3634
 2003  5  1 19 -13.3068 -6.6380
 2003  5  1 20 -14.3646 -3.6506
 2003  5  1 21 -14.7174 -4.0924
 2003  5  1 22 -12.3095 -1.2406
 2003  5  1 23 -5.9670 -3.0933
 2003  5  2  0 -2.5180 -3.5306
 2003  5  2  1  5.5068 -5.0972
 2003  5  2  2  4.7974 -4.2923
 2003  5  2  3  8.0314 -7.5789
 2003  5  2  4 11.9798 -9.2238
 2003  5  2  5 11.4185 -10.1801
 2003  5  2  6  7.5300 -11.0221
 2003  5  2  7  6.6752 -9.3588
 2003  5  2  8  5.3887 -3.9981
 2003  5  2  9  1.0886  3.4924
 2003  5  2 10 -2.4565  6.8739
 2003  5  2 11 -7.1212  8.3214
 2003  5  2 12 -11.2869  3.4185
 2003  5  2 13 -11.5871 -0.5247
 2003  5  2 14 -13.2558 -6.1925
 2003  5  2 15 -9.1540 -14.8275
 2003  5  2 16 -8.0181 -20.5465
 2003  5  2 17 -5.2978 -22.7369
 2003  5  2 18 -3.0067 -24.4185
 2003  5  2 19  1.2440 -21.9651
 2003  5  2 20  6.9234 -19.1967
 2003  5  2 21 11.4151 -12.3266
 2003  5  2 22 14.0118 -4.2633
 2003  5  2 23 13.8120  4.1614
 2003  5  3  0 10.9609  9.7542
 2003  5  3  1  8.6622  8.3414
 2003  5  3  2  5.2193  9.8567
 2003  5  3  3  1.9245 10.8503
 2003  5  3  4 -6.0506  3.2208
 2003  5  3  5 -8.9908 -4.9940
 2003  5  3  6 -13.2799 -9.8548
 2003  5  3  7 -14.3809 -15.7617
 2003  5  3  8 -14.4226 -17.2695
 2003  5  3  9 -14.6115 -16.7712
 2003  5  3 10 -11.6141 -17.3128
 2003  5  3 11 -4.4698 -16.2746
 2003  5  3 12 -1.6230 -15.5567
 2003  5  3 13  5.2339 -13.3510
 2003  5  3 14 10.5302 -17.9298
 2003  5  3 15 14.1332 -23.8190
 2003  5  3 16 17.5090 -20.4416
 2003  5  3 17 16.4534 -14.6234
 2003  5  3 18 13.8853 -7.7371
 2003  5  3 19  9.0859 -1.8736
 2003  5  3 20  4.8321  3.0472
 2003  5  3 21 -0.0910  8.6031
 2003  5  3 22 -4.1411 10.6430
 2003  5  3 23 -9.7290 12.4793
 2003  5  4  0 -13.7713 12.8921
 2003  5  4  1 -16.6213  7.6995
 2003  5  4  2 -15.5043 -2.2137
