% god. mj. dan. sat. NE  NW
 2003  4 27  0 -4.3674 -4.3247
 2003  4 27  1 -5.6141 -5.6532
 2003  4 27  2 -4.8748 -10.7086
 2003  4 27  3 -4.8101 -9.3395
 2003  4 27  4 -4.7806 -11.6270
 2003  4 27  5 -6.3830 -9.6303
 2003  4 27  6 -8.5765 -8.5508
 2003  4 27  7 -8.6538 -3.9531
 2003  4 27  8 -9.3950 -2.9307
 2003  4 27  9 -11.6805 -6.0290
 2003  4 27 10 -9.7640 -9.9411
 2003  4 27 11 -6.6392 -13.0453
 2003  4 27 12 -5.8407 -15.6693
 2003  4 27 13 -5.0862 -19.8001
 2003  4 27 14 -3.9365 -21.6930
 2003  4 27 15  0.9685 -19.3715
 2003  4 27 16  3.9062 -17.1355
 2003  4 27 17  3.9068 -13.1288
 2003  4 27 18  2.0493 -5.5154
 2003  4 27 19  0.4733  1.2706
 2003  4 27 20 -1.7326  7.3195
 2003  4 27 21 -6.0937 11.3193
 2003  4 27 22 -7.5185  7.4153
 2003  4 27 23 -6.8588  2.5202
 2003  4 28  0 -5.4606 -0.1039
 2003  4 28  1 -3.8408 -4.4759
 2003  4 28  2 -1.9732 -7.3137
 2003  4 28  3  2.3416 -9.0597
 2003  4 28  4 -1.5096 -9.8013
 2003  4 28  5 -1.0393 -8.4379
 2003  4 28  6 -0.0858 -4.8695
 2003  4 28  7 -2.5188 -2.2319
 2003  4 28  8 -2.2293  3.7231
 2003  4 28  9 -2.9460  3.9314
 2003  4 28 10 -3.2150  3.7520
 2003  4 28 11 -2.9953 -0.3465
 2003  4 28 12 -2.7502 -3.3140
 2003  4 28 13 -3.2505 -7.8427
 2003  4 28 14 -2.0118 -10.7359
 2003  4 28 15 -0.9352 -14.5343
 2003  4 28 16 -0.2624 -13.9808
 2003  4 28 17 -1.7330 -12.6098
 2003  4 28 18 -1.1148 -6.0847
 2003  4 28 19 -1.0158 -1.6705
 2003  4 28 20 -2.7426  2.1187
 2003  4 28 21 -0.9023  8.3384
 2003  4 28 22 -0.6543  7.6111
 2003  4 28 23  0.0538  8.6329
 2003  4 29  0  0.3530  6.0334
 2003  4 29  1  0.3761  0.0023
